Fecha Operación,NombrePlanta,TipoGeneracion
2023-01-30,GRANJA SOLAR LANCEROS,Solar
2023-01-30,GRANJA SOLAR SAN FELIPE,Solar
2023-06-17,GRANJA SOLAR EL SALADO,Solar
2022-12-26,TERMOTASAJERO DOS SOLAR,Solar
2024-11-30,GUAYEPO,Solar
2023-04-04,TIERRA LINDA,Solar
2023-04-04,LA TOLUA,Solar
2022-08-31,PARQUE EOLICO WESP01,Eólica
2023-05-14,OIBITA,Hidráulica
2022-09-19,CERRITOS,Solar
2022-09-15,LOS CABALLEROS,Solar
2022-09-15,LA MEDINA,Solar
2022-09-21,AUTOG CELSIA SOLAR HARINAS,Solar
2022-09-10,SINCE,Solar
2022-09-14,TESORITO,Combustible fósil
2022-09-12,BOSQUES SOLARES DE LOS LLANOS 5,Solar
2022-09-12,BOSQUES SOLARES DE LOS LLANOS 4,Solar
2022-05-31,GR PARQUE SOLAR TUCANES,Solar
2022-05-19,ZEUS,Hidráulica
2022-04-30,PARQUE EOLICO GUAJIRA I,Eólica
2022-06-11,AUTOG CELSIA SOLAR LEVAPAN,Solar
2022-05-30,AUTOG COLOMBINA DEL CAUCA,Solar
2022-05-31,AUTOG GRAN COLOMBIA GOLD,Hidráulica
2023-08-25,AUTOG PINTUCO,Solar
2023-08-25,AUTOG CI JEANS,Solar
2022-03-30,LAS VIOLETAS,Hidráulica
2023-10-27,TERMOCANDELARIA CC,Combustible fósil
2021-12-31,TZ II,Hidráulica
2022-08-11,GY SOLAR AURORA,Solar
2022-05-31,LA CHORRERA,Hidráulica
2021-08-07,CELSIA SOLAR LA PAILA,Solar
2021-09-25,LA SIERPE,Solar
2021-09-02,AUTOG TERMOTAME,Combustible fósil
2021-04-30,GRANJA SOLAR BELMONTE,Solar
2024-06-24,LATAM SOLAR LA LOMA,Solar
2020-11-30,AUTOG PTAR BELLO,Combustible fósil
2020-12-27,CELSIA SOLAR CARMELO,Solar
2022-04-25,CAUYA,Hidráulica
2010-12-01,FLORES 4 CC,Combustible fósil
2018-12-01,TERMONORTE,Combustible fósil
2000-11-30,TERMOCENTRO CC,Combustible fósil
1993-11-01,FLORES I CC,Combustible fósil
1998-02-07,TERMOSIERRA CC,Combustible fósil
2011-12-17,TERMOVALLE CC,Combustible fósil
